epoch,loss,acc
1099,0.1931,0.93
1100,0.1947,0.92
1101,0.195,0.92
1102,0.1966,0.91
1103,0.1954,0.92
1104,0.1943,0.92
1105,0.1933,0.92
1106,0.1917,0.93
1107,0.1933,0.92
1108,0.1954,0.92
1109,0.1927,0.92
1110,0.1913,0.92
1111,0.1916,0.92
1112,0.1912,0.92
1113,0.1906,0.93
1114,0.1929,0.93
1115,0.1944,0.93
1116,0.1925,0.94
1117,0.1913,0.93
1118,0.1903,0.93
1119,0.19,0.92
1120,0.1913,0.92
1121,0.1903,0.92
1122,0.1902,0.92
1123,0.19,0.92
1124,0.1894,0.92
1125,0.1901,0.92
1126,0.19,0.93
1127,0.1891,0.93
1128,0.1921,0.93
1129,0.1908,0.92
1130,0.1916,0.92
1131,0.1878,0.92
1132,0.1891,0.93
1133,0.1978,0.91
1134,0.202,0.91
1135,0.2008,0.91
1136,0.1958,0.92
1137,0.1878,0.92
1138,0.1875,0.92
1139,0.1881,0.92
1140,0.1886,0.92
1141,0.1887,0.92
1142,0.1913,0.92
1143,0.1951,0.92
1144,0.1987,0.91
1145,0.1946,0.92
1146,0.1898,0.93
1147,0.1862,0.94
1148,0.1857,0.92
1149,0.1873,0.92
1150,0.1864,0.93
1151,0.1858,0.94
1152,0.1896,0.93
1153,0.1907,0.93
1154,0.1889,0.93
1155,0.1868,0.94
1156,0.1867,0.94
1157,0.1854,0.94
1158,0.1861,0.92
1159,0.1861,0.94
1160,0.1849,0.94
1161,0.1862,0.94
1162,0.1859,0.92
1163,0.1892,0.91
1164,0.1887,0.91
1165,0.1873,0.91
1166,0.1883,0.91
1167,0.1886,0.91
1168,0.1895,0.92
1169,0.1904,0.92
1170,0.1897,0.91
1171,0.1902,0.91
1172,0.19,0.91
1173,0.1898,0.91
1174,0.1919,0.92
1175,0.1902,0.92
1176,0.1871,0.92
1177,0.1852,0.92
1178,0.1847,0.92
1179,0.1844,0.92
1180,0.1854,0.9
1181,0.1912,0.91
1182,0.1895,0.91
1183,0.1855,0.91
1184,0.1814,0.93
1185,0.1822,0.93
1186,0.1823,0.93
1187,0.1811,0.93
1188,0.1825,0.93
1189,0.1812,0.92
1190,0.1814,0.92
1191,0.18,0.93
1192,0.1805,0.93
1193,0.1819,0.93
1194,0.1816,0.93
1195,0.1818,0.93
1196,0.1812,0.93
1197,0.1797,0.93
1198,0.1796,0.93
1199,0.1799,0.93
1200,0.1804,0.93
1201,0.1796,0.93
1202,0.1784,0.93
1203,0.1792,0.93
1204,0.1784,0.93
1205,0.1782,0.92
1206,0.1787,0.92
1207,0.1782,0.93
1208,0.1781,0.92
1209,0.1783,0.91
1210,0.1774,0.93
1211,0.1768,0.93
1212,0.178,0.91
1213,0.1776,0.91
1214,0.1802,0.91
1215,0.1812,0.92
1216,0.1795,0.92
1217,0.176,0.93
1218,0.1782,0.93
1219,0.1797,0.93
1220,0.1802,0.93
1221,0.1774,0.93
1222,0.1764,0.92
1223,0.1772,0.91
1224,0.1768,0.91
1225,0.1754,0.92
1226,0.1778,0.93
1227,0.176,0.93
1228,0.1771,0.92
1229,0.1797,0.92
1230,0.1799,0.92
1231,0.1803,0.92
1232,0.1782,0.92
1233,0.1772,0.91
1234,0.176,0.92
1235,0.1777,0.92
1236,0.1779,0.93
1237,0.1762,0.92
1238,0.1738,0.92
1239,0.1745,0.92
1240,0.1773,0.93
1241,0.1775,0.93
1242,0.1755,0.92
1243,0.1766,0.92
1244,0.1753,0.91
1245,0.1765,0.92
1246,0.1775,0.91
1247,0.1725,0.92
1248,0.1719,0.93
1249,0.1744,0.93
1250,0.1789,0.92
1251,0.1773,0.92
1252,0.1731,0.92
1253,0.172,0.93
1254,0.1728,0.93
1255,0.1739,0.92
1256,0.1745,0.92
